feature,importance
max_Z,0.16583563387393951
Z18_indicator,0.07583043724298477
age,0.05723438784480095
Z_18,0.05170019343495369
uniq_rate,0.05153068155050278
reads,0.04859233275055885
Z_21,0.047579601407051086
Z13_indicator,0.04657341539859772
BMI,0.046229682862758636
Z_X,0.04225081577897072
weeks,0.04087258130311966
Z_13,0.0396033376455307
Z21_indicator,0.03953719139099121
unique_reads,0.039028916507959366
map_ratio,0.038796983659267426
GC_13,0.037857525050640106
GC_global,0.03727342188358307
GC_18,0.035987310111522675
GC_21,0.029086576774716377
dup_ratio,0.02859898842871189
